Time,Slow,Average,Fast
161.0,0.28091537443,0.065481190164,0.0008913402508
161.5,0.28040251791,0.065064442911,0.0008738474488
162.0,0.27989059671,0.064650346706,0.00085669794502
162.5,0.27937960912,0.064238884702,0.00083988500232
163.0,0.27886955343,0.063830040157,0.00082340201574
163.5,0.27836042797,0.063423796438,0.00080724250997
164.0,0.27785223102,0.063020137014,0.00079140013675
164.5,0.27734496091,0.062619045462,0.0007758686724
165.0,0.27683861595,0.062220505461,0.00076064201539
165.5,0.27633319445,0.061824500795,0.00074571418391
166.0,0.27582869473,0.06143101535,0.00073107931356
166.5,0.27532511511,0.061040033115,0.000716731655
167.0,0.27482245392,0.060651538179,0.00070266557174
167.5,0.27432070949,0.060265514735,0.00068887553789
168.0,0.27381988015,0.059881947072,0.000675356136
168.5,0.27331996424,0.059500819582,0.00066210205493
169.0,0.27282096008,0.059122116756,0.0006491080878
169.5,0.27232286603,0.058745823181,0.00063636912986
170.0,0.27182568042,0.058371923543,0.00062388017659
170.5,0.27132940161,0.058000402627,0.00061163632164
171.0,0.27083402794,0.057631245312,0.00059963275497
171.5,0.27033955776,0.057264436574,0.00058786476093
172.0,0.26984598943,0.056899961483,0.0005763277164
172.5,0.2693533213,0.056537805207,0.000565017089
173.0,0.26886155175,0.056177953005,0.0005539284353
173.5,0.26837067913,0.055820390231,0.00054305739904
174.0,0.26788070182,0.055465102331,0.00053239970949
174.5,0.26739161817,0.055112074844,0.00052195117971
175.0,0.26690342657,0.054761293401,0.00051170770492
175.5,0.26641612539,0.054412743723,0.00050166526092
176.0,0.26592971301,0.054066411624,0.00049181990246
176.5,0.26544418782,0.053722283006,0.00048216776173
177.0,0.26495954819,0.053380343861,0.00047270504681
177.5,0.26447579252,0.053040580269,0.0004634280402
178.0,0.26399291919,0.052702978401,0.00045433309736
178.5,0.26351092661,0.052367524512,0.00044541664528
179.0,0.26302981316,0.052034204948,0.00043667518106
179.5,0.26254957725,0.051703006139,0.00042810527053
180.0,0.26207021728,0.051373914603,0.00041970354694
180.5,0.26159173166,0.051046916942,0.0004114667096
181.0,0.26111411879,0.050721999844,0.00040339152259
181.5,0.26063737708,0.050399150081,0.00039547481351
182.0,0.26016150495,0.050078354509,0.00038771347219
182.5,0.25968650082,0.049759600068,0.00038010444954
183.0,0.2592123631,0.049442873781,0.00037264475626
183.5,0.25873909022,0.049128162752,0.00036533146175
184.0,0.25826668061,0.048815454168,0.00035816169291
184.5,0.25779513269,0.048504735298,0.00035113263301
185.0,0.25732444489,0.048195993491,0.00034424152063
185.5,0.25685461565,0.047889216175,0.00033748564852
186.0,0.2563856434,0.04758439086,0.00033086236255
186.5,0.25591752659,0.047281505135,0.00032436906071
187.0,0.25545026366,0.046980546666,0.00031800319203
187.5,0.25498385305,0.046681503199,0.00031176225561
188.0,0.25451829321,0.046384362558,0.00030564379962
188.5,0.25405358259,0.046089112643,0.00029964542036
189.0,0.25358971965,0.045795741431,0.00029376476131
189.5,0.25312670284,0.045504236977,0.00028799951216
190.0,0.25266453063,0.04521458741,0.00028234740799
190.5,0.25220320147,0.044926780936,0.00027680622829
191.0,0.25174271383,0.044640805834,0.00027137379614
191.5,0.25128306617,0.044356650458,0.00026604797735
192.0,0.25082425698,0.044074303238,0.0002608266796
192.5,0.25036628471,0.043793752674,0.00025570785165
193.0,0.24990914786,0.043514987342,0.0002506894825
193.5,0.24945284489,0.04323799589,0.00024576960061
194.0,0.24899737429,0.042962767036,0.00024094627315
194.5,0.24854273455,0.042689289571,0.00023621760522
195.0,0.24808892414,0.04241755236,0.00023158173909
195.5,0.24763594157,0.042147544333,0.0002270368535
