Time,CYP3A4_1A_n1_SOC_N,CYP3A4_1A_n2_SOC_N,CYP3A4_1A_n3_SOC_N,CYP3A4_1A_n4_SOC_N,CYP3A4_2_n1_SOC_N,CYP3A4_3_n1_SOC_N,CYP3A4_4_n1_SOC_N,CYP3A4_4_n2_SOC_N,CYP3A4_4_n3_SOC_N,CYP3A4_4_n4_SOC_N,CYP3A4_5_n1_SOC_N,CYP3A4_7_n1_SOC_N,CYP3A4_8_n1_SOC_N,CYP3A4_9_n1_SOC_N,CYP3A4_10_n1_SOC_N,CYP3A4_11_n1_SOC_N,CYP3A4_11_n2_SOC_N,CYP3A4_11_n3_SOC_N,CYP3A4_11_n4_SOC_N,CYP3A4_12_n1_SOC_N,CYP3A4_13_n1_SOC_N,CYP3A4_14_n1_SOC_N,CYP3A4_15_n1_SOC_N,CYP3A4_15_n2_SOC_N,CYP3A4_15_n3_SOC_N,CYP3A4_15_n4_SOC_N,CYP3A4_16_n1_SOC_N,CYP3A4_17_n1_SOC_N,CYP3A4_18_n1_SOC_N,CYP3A4_19_n1_SOC_N,CYP3A4_20_n1_SOC_N,CYP3A4_21_n1_SOC_N,CYP3A4_23_n1_SOC_N,CYP3A4_24_n1_SOC_N,CYP3A4_28_n1_SOC_N,CYP3A4_28_n2_SOC_N,CYP3A4_28_n3_SOC_N,CYP3A4_28_n4_SOC_N,CYP3A4_29_n1_SOC_N,CYP3A4_29_n2_SOC_N,CYP3A4_29_n3_SOC_N,CYP3A4_29_n4_SOC_N,CYP3A4_31_n1_SOC_N,CYP3A4_32_n1_SOC_N,CYP3A4_32_n2_SOC_N,CYP3A4_32_n3_SOC_N,CYP3A4_32_n4_SOC_N,CYP3A4_33_n1_SOC_N,CYP3A4_34_n1_SOC_N,CYP3A4_34_n2_SOC_N,CYP3A4_34_n3_SOC_N,CYP3A4_34_n4_SOC_N
100,1.5429324161,1.5429324161,1.5429324161,1.5429324161,0.98862121993,1.032055704,1.0627746588,1.0627746588,1.0627746588,1.0627746588,0.96448119497,0.97603420858,0.923021372,1.0104685956,1.037768989,1.3493020708,1.3493020708,1.3493020708,1.3493020708,0.92302011218,0.94189235566,1.0345638106,1.7676604175,1.7676604175,1.7676604175,1.7676604175,1.0480700498,0.91698897691,1.0030014462,1.1543784718,0.92982650818,0.92235798157,1.1130607188,1.0408184717,1.5398055563,1.5398055563,1.5398055563,1.5398055563,3.7014147298,3.7014147298,3.7014147298,3.7014147298,1.2187127029,1.3505468175,1.3505468175,1.3505468175,1.3505468175,1.1085879466,1.622009349,1.622009349,1.622009349,1.622009349
105,1.297784626,1.297784626,1.297784626,1.297784626,0.79692761178,0.83547215625,0.86281649029,0.86281649029,0.86281649029,0.86281649029,0.77556770878,0.78578455188,0.73899102088,0.81629766809,0.84055269528,1.120830052,1.120830052,1.120830052,1.120830052,0.7389899117,0.75562208605,0.83770222787,1.5052993889,1.5052993889,1.5052993889,1.5052993889,0.84971894148,0.73368086486,0.80967319236,0.94474679803,0.74498503117,0.73840690757,0.90772234146,0.84326540066,1.2949171031,1.2949171031,1.2949171031,1.2949171031,3.3511333008,3.3511333008,3.3511333008,3.3511333008,1.0026148944,1.1219637685,1.1219637685,1.1219637685,1.1219637685,0.90372148417,1.3705639432,1.3705639432,1.3705639432,1.3705639432
110,1.0939219352,1.0939219352,1.0939219352,1.0939219352,0.64265217457,0.67672576182,0.70097645266,0.70097645266,0.70097645266,0.70097645266,0.62382780256,0.6328266085,0.59169321791,0.65975894397,0.68122673558,0.93259807462,0.93259807462,0.93259807462,0.93259807462,0.59169224553,0.60628849181,0.67870119086,1.2851632495,1.2851632495,1.2851632495,1.2851632495,0.68935295642,0.58703881626,0.65390474292,0.77400259939,0.59695038139,0.5911810999,0.74093646297,0.68363087671,1.0912980182,1.0912980182,1.0912980182,1.0912980182,3.0458294874,3.0458294874,3.0458294874,3.0458294874,0.82588980713,0.93362789155,0.93362789155,0.93362789155,0.93362789155,0.73737002303,1.160763026,1.160763026,1.160763026,1.160763026
115,0.92403325094,0.92403325094,0.92403325094,0.92403325094,0.51844294377,0.54845966814,0.56989549061,0.56989549061,0.56989549061,0.56989549061,0.50191322874,0.50981025853,0.4737879668,0.53349772556,0.55243377439,0.77726216492,0.77726216492,0.77726216492,0.77726216492,0.47378711765,0.48654751344,0.55020363163,1.0999903586,1.0999903586,1.0999903586,1.0999903586,0.55961397696,0.46972424786,0.52834227098,0.63478550374,0.47838103575,0.4733407149,0.60534241791,0.55455732022,0.92163667145,0.92163667145,0.92163667145,0.92163667145,2.7787349957,2.7787349957,2.7787349957,2.7787349957,0.68118005694,0.77819543224,0.77819543224,0.77819543224,0.77819543224,0.60217296011,0.98531192802,0.98531192802,0.98531192802,0.98531192802
120,0.78216090728,0.78216090728,0.78216090728,0.78216090728,0.41840181091,0.44476163316,0.46365277979,0.46365277979,0.46365277979,0.46365277979,0.40393485009,0.41084196733,0.37940360133,0.43160848749,0.44825989022,0.6488629038,0.6488629038,0.6488629038,0.6488629038,0.37940286243,0.39051919424,0.44629656692,0.94384053982,0.94384053982,0.94384053982,0.94384053982,0.45458515369,0.37586826867,0.42708271515,0.52115510063,0.38340227083,0.37901438852,0.4950076052,0.45012992883,0.77997533346,0.77997533346,0.77997533346,0.77997533346,2.5442286035,2.5442286035,2.5442286035,2.5442286035,0.56253603559,0.64970697753,0.64970697753,0.64970697753,0.64970697753,0.49219864684,0.83825769387,0.83825769387,0.83825769387,0.83825769387
125,0.66343995287,0.66343995287,0.66343995287,0.66343995287,0.33779519548,0.36087761744,0.37748129189,0.37748129189,0.37748129189,0.37748129189,0.32517161747,0.33119458064,0.30384272558,0.34934703725,0.36394854023,0.54255647011,0.54255647011,0.54255647011,0.54255647011,0.30384208472,0.31349502387,0.36222485406,0.81184241762,0.81184241762,0.81184241762,0.81184241762,0.36950553512,0.30077716402,0.34538543586,0.42831198403,0.30731261335,0.30350512659,0.40514613122,0.36559083989,0.66144933818,0.66144933818,0.66144933818,0.66144933818,2.3376225935,2.3376225935,2.3376225935,2.3376225935,0.46514047857,0.54331855542,0.54331855542,0.54331855542,0.54331855542,0.40266276542,0.71473136165,0.71473136165,0.71473136165,0.71473136165
130,0.56388950587,0.56388950587,0.56388950587,0.56388950587,0.27282265544,0.29298269451,0.30754026208,0.30754026208,0.30754026208,0.30754026208,0.2618378491,0.26707524587,0.2433471111,0.28290029747,0.2956717644,0.45439940045,0.45439940045,0.45439940045,0.45439940045,0.24334655694,0.25170393521,0.29416223051,0.69999123487,0.69999123487,0.69999123487,0.69999123487,0.30054179657,0.24069693552,0.2794416006,0.35237455483,0.24634913694,0.24305516278,0.33189371103,0.29711049062,0.56207833806,0.56207833806,0.56207833806,0.56207833806,2.1549921683,2.1549921683,2.1549921683,2.1549921683,0.38508806659,0.45508643997,0.45508643997,0.45508643997,0.45508643997,0.32970301887,0.61074171821,0.61074171821,0.61074171821,0.61074171821
135,0.48024542798,0.48024542798,0.48024542798,0.48024542798,0.22043176252,0.23799770285,0.25073304719,0.25073304719,0.25073304719,0.25073304719,0.21089708014,0.21543975613,0.19490971699,0.2292020856,0.24034706482,0.38117605563,0.38117605563,0.38117605563,0.38117605563,0.19490923913,0.20212516813,0.23902806587,0.60498665762,0.60498665762,0.60498665762,0.60498665762,0.24460552597,0.19262504752,0.22618965697,0.29020025138,0.19749978861,0.19465794879,0.27212741755,0.24160461824,0.47859889944,0.47859889944,0.47859889944,0.47859889944,1.9930386016,1.9930386016,1.9930386016,1.9930386016,0.31920884337,0.38179465346,0.38179465346,0.38179465346,0.38179465346,0.27019871594,0.52300987619,0.52300987619,0.52300987619,0.52300987619
140,0.40982585727,0.40982585727,0.40982585727,0.40982585727,0.17816993492,0.1934424221,0.20456121769,0.20456121769,0.20456121769,0.20456121769,0.16991312272,0.17384398232,0.15612437726,0.1857856297,0.19549075445,0.32026009602,0.32026009602,0.32026009602,0.32026009602,0.15612396626,0.16233858897,0.19434061386,0.52410233495,0.52410233495,0.52410233495,0.52410233495,0.19920688093,0.15415990973,0.18316761666,0.23924221588,0.15835330548,0.15590781914,0.2233212146,0.19658770032,0.40832997407,0.40832997407,0.40832997407,0.40832997407,1.848978989,1.848978989,1.848978989,1.848978989,0.26492656218,0.32081646974,0.32081646974,0.32081646974,0.32081646974,0.22162617878,0.4488362974,0.4488362974,0.4488362974,0.4488362974
145,0.3504229256,0.3504229256,0.3504229256,0.3504229256,0.14406580356,0.15731793034,0.16700759401,0.16700759401,0.16700759401,0.16700759401,0.1369308654,0.14032494542,0.12506559919,0.1506654378,0.15910044193,0.26950308331,0.26950308331,0.26950308331,0.26950308331,0.12506524654,0.13040494889,0.15809942575,0.45508073955,0.45508073955,0.45508073955,0.45508073955,0.16233730225,0.12338052699,0.14839475398,0.19743425384,0.12697917991,0.12487977332,0.18343006723,0.16005550751,0.34906456951,0.34906456951,0.34906456951,0.34906456951,1.7204570636,1.7204570636,1.7204570636,1.7204570636,0.2201449112,0.27000303754,0.27000303754,0.27000303754,0.27000303754,0.18194275961,0.38599366326,0.38599366326,0.38599366326,0.38599366326
