Time,CYP3A4_1A_n1_SOC_N,CYP3A4_1A_n2_SOC_N,CYP3A4_1A_n3_SOC_N,CYP3A4_1A_n4_SOC_N,CYP3A4_2_n1_SOC_N,CYP3A4_3_n1_SOC_N,CYP3A4_4_n1_SOC_N,CYP3A4_4_n2_SOC_N,CYP3A4_4_n3_SOC_N,CYP3A4_4_n4_SOC_N,CYP3A4_5_n1_SOC_N,CYP3A4_7_n1_SOC_N,CYP3A4_8_n1_SOC_N,CYP3A4_9_n1_SOC_N,CYP3A4_10_n1_SOC_N,CYP3A4_11_n1_SOC_N,CYP3A4_11_n2_SOC_N,CYP3A4_11_n3_SOC_N,CYP3A4_11_n4_SOC_N,CYP3A4_12_n1_SOC_N,CYP3A4_13_n1_SOC_N,CYP3A4_14_n1_SOC_N,CYP3A4_15_n1_SOC_N,CYP3A4_15_n2_SOC_N,CYP3A4_15_n3_SOC_N,CYP3A4_15_n4_SOC_N,CYP3A4_16_n1_SOC_N,CYP3A4_17_n1_SOC_N,CYP3A4_18_n1_SOC_N,CYP3A4_19_n1_SOC_N,CYP3A4_20_n1_SOC_N,CYP3A4_21_n1_SOC_N,CYP3A4_23_n1_SOC_N,CYP3A4_24_n1_SOC_N,CYP3A4_28_n1_SOC_N,CYP3A4_28_n2_SOC_N,CYP3A4_28_n3_SOC_N,CYP3A4_28_n4_SOC_N,CYP3A4_29_n1_SOC_N,CYP3A4_29_n2_SOC_N,CYP3A4_29_n3_SOC_N,CYP3A4_29_n4_SOC_N,CYP3A4_31_n1_SOC_N,CYP3A4_32_n1_SOC_N,CYP3A4_32_n2_SOC_N,CYP3A4_32_n3_SOC_N,CYP3A4_32_n4_SOC_N,CYP3A4_33_n1_SOC_N,CYP3A4_34_n1_SOC_N,CYP3A4_34_n2_SOC_N,CYP3A4_34_n3_SOC_N,CYP3A4_34_n4_SOC_N
2060,3.2305186508e-06,3.2305186508e-06,3.2305186508e-06,3.2305186508e-06,6.4485732657e-27,1.7709231682e-22,5.6373787668e-20,5.6373787668e-20,5.6373787668e-20,5.6373787668e-20,5.9273797909e-30,1.9283166978e-28,2.1123752157e-36,1.5504775743e-24,5.625604923e-22,6.9499178144e-09,6.9499178144e-09,6.9499178144e-09,6.9499178144e-09,2.1113356117e-36,2.9828631207e-33,2.9616760498e-22,0.00015076983657,0.00015076983657,0.00015076983657,0.00015076983657,4.1084419701e-21,1.7129938e-37,2.5939188754e-25,1.2324962338e-14,3.2006557125e-35,1.6101933953e-36,1.0271220003e-16,1.0246738718e-21,3.0446666264e-06,3.0446666264e-06,3.0446666264e-06,3.0446666264e-06,0.4604758149,0.4604758149,0.4604758149,0.4604758149,3.8120645067e-12,7.4547627335e-09,7.4547627335e-09,7.4547627335e-09,7.4547627335e-09,5.7937778077e-17,1.6331878985e-05,1.6331878985e-05,1.6331878985e-05,1.6331878985e-05
2065,3.2311267266e-06,3.2311267266e-06,3.2311267266e-06,3.2311267266e-06,5.8110856255e-27,1.653808708e-22,5.3570909306e-20,5.3570909306e-20,5.3570909306e-20,5.3570909306e-20,5.1967481593e-30,1.7144035124e-28,1.7351214398e-36,1.4252093685e-24,5.2728596574e-22,6.9278597123e-09,6.9278597123e-09,6.9278597123e-09,6.9278597123e-09,1.7342636099e-36,2.5321427569e-33,2.7703646824e-22,0.00015091399529,0.00015091399529,0.00015091399529,0.00015091399529,3.8744451369e-21,1.3905134124e-37,2.3693892098e-25,1.2063866496e-14,2.6622721336e-35,1.3209487458e-36,9.9517669724e-17,9.6221787738e-22,3.0451920211e-06,3.0451920211e-06,3.0451920211e-06,3.0451920211e-06,0.46100802953,0.46100802953,0.46100802953,0.46100802953,3.7679540143e-12,7.4315809359e-09,7.4315809359e-09,7.4315809359e-09,7.4315809359e-09,5.6061773144e-17,1.6341886805e-05,1.6341886805e-05,1.6341886805e-05,1.6341886805e-05
2070,3.2317767575e-06,3.2317767575e-06,3.2317767575e-06,3.2317767575e-06,5.2376575839e-27,1.5447539111e-22,5.091708444e-20,5.091708444e-20,5.091708444e-20,5.091708444e-20,4.5569654915e-30,1.5245067916e-28,1.4253304051e-36,1.3103318817e-24,4.9432310835e-22,6.9061639954e-09,6.9061639954e-09,6.9061639954e-09,6.9061639954e-09,1.4246225307e-36,2.1497977321e-33,2.5919373483e-22,0.00015105880981,0.00015105880981,0.00015105880981,0.00015105880981,3.654498813e-21,1.1287820864e-37,2.164738066e-25,1.1809831324e-14,2.2146446679e-35,1.083726197e-36,9.6437704298e-17,9.0375023391e-22,3.045757474e-06,3.045757474e-06,3.045757474e-06,3.045757474e-06,0.46154085917,0.46154085917,0.46154085917,0.46154085917,3.7246941299e-12,7.4087814868e-09,7.4087814868e-09,7.4087814868e-09,7.4087814868e-09,5.4255235553e-17,1.635203189e-05,1.635203189e-05,1.635203189e-05,1.635203189e-05
2075,3.2324682092e-06,3.2324682092e-06,3.2324682092e-06,3.2324682092e-06,4.7217497723e-27,1.4431835064e-22,4.8403910544e-20,4.8403910544e-20,4.8403910544e-20,4.8403910544e-20,3.9966385237e-30,1.3558985217e-28,1.1709222973e-36,1.2049615832e-24,4.6351422991e-22,6.8848248538e-09,6.8848248538e-09,6.8848248538e-09,6.8848248538e-09,1.1703381357e-36,1.8254146335e-33,2.4254926987e-22,0.00015120427287,0.00015120427287,0.00015120427287,0.00015120427287,3.4477185855e-21,9.1634827722e-38,1.9781674123e-25,1.1562634524e-14,1.8424417673e-35,8.8915781222e-37,9.3467731651e-17,8.4900529887e-22,3.0463624741e-06,3.0463624741e-06,3.0463624741e-06,3.0463624741e-06,0.46207430454,0.46207430454,0.46207430454,0.46207430454,3.6822648447e-12,7.3863582792e-09,7.3863582792e-09,7.3863582792e-09,7.3863582792e-09,5.2515315995e-17,1.6362312552e-05,1.6362312552e-05,1.6362312552e-05,1.6362312552e-05
2080,3.2332005556e-06,3.2332005556e-06,3.2332005556e-06,3.2332005556e-06,4.2575005918e-27,1.3485646928e-22,4.602348391e-20,4.602348391e-20,4.602348391e-20,4.602348391e-20,3.5058148042e-30,1.2061640987e-28,9.6198311258e-37,1.1082918536e-24,4.3471280031e-22,6.8638365946e-09,6.8638365946e-09,6.8638365946e-09,6.8638365946e-09,9.6150101868e-37,1.5501721512e-33,2.2701946928e-22,0.00015135037733,0.00015135037733,0.00015135037733,0.00015135037733,3.2532781397e-21,7.4392055232e-38,1.8080452039e-25,1.1322061676e-14,1.5329273599e-35,7.2956466322e-37,9.0603378828e-17,7.9773581715e-22,3.0470065185e-06,3.0470065185e-06,3.0470065185e-06,3.0470065185e-06,0.46260836633,0.46260836633,0.46260836633,0.46260836633,3.6406467025e-12,7.3643053287e-09,7.3643053287e-09,7.3643053287e-09,7.3643053287e-09,5.0839292304e-17,1.637272713e-05,1.637272713e-05,1.637272713e-05,1.637272713e-05
2085,3.2339732794e-06,3.2339732794e-06,3.2339732794e-06,3.2339732794e-06,3.8396549284e-27,1.260403903e-22,4.3768368628e-20,4.3768368628e-20,4.3768368628e-20,4.3768368628e-20,3.0757989867e-30,1.0731659219e-28,7.9037584307e-37,1.0195861385e-24,4.0778263234e-22,6.8431936389e-09,6.8431936389e-09,6.8431936389e-09,6.8431936389e-09,7.8997796307e-37,1.3165967255e-33,2.1252677094e-22,0.00015149711617,0.00015149711617,0.00015149711617,0.00015149711617,3.0704052908e-21,6.0395985835e-38,1.6528897583e-25,1.1087905926e-14,1.2755205342e-35,5.9865193532e-37,8.7840462673e-17,7.4971160225e-22,3.0476891126e-06,3.0476891126e-06,3.0476891126e-06,3.0476891126e-06,0.46314304525,0.46314304525,0.46314304525,0.46314304525,3.5998207827e-12,7.3426167706e-09,7.3426167706e-09,7.3426167706e-09,7.3426167706e-09,4.9224563361e-17,1.6383273986e-05,1.6383273986e-05,1.6383273986e-05,1.6383273986e-05
2090,3.2347858714e-06,3.2347858714e-06,3.2347858714e-06,3.2347858714e-06,3.4635004727e-27,1.1782438228e-22,4.1631567572e-20,4.1631567572e-20,4.1631567572e-20,4.1631567572e-20,2.6989927355e-30,9.5501126213e-29,6.4942155359e-37,9.381717255e-25,3.8259712628e-22,6.8228905193e-09,6.8228905193e-09,6.8228905193e-09,6.8228905193e-09,6.4909316019e-37,1.11835584e-33,1.989992035e-22,0.0001516444825,0.0001516444825,0.0001516444825,0.0001516444825,2.8983782959e-21,4.9034880093e-38,1.5113556289e-25,1.0859967691e-14,1.0614300794e-35,4.9125913865e-37,8.5174980956e-17,7.047183153e-22,3.0484097696e-06,3.0484097696e-06,3.0484097696e-06,3.0484097696e-06,0.463678342,0.463678342,0.463678342,0.463678342,3.5597686836e-12,7.3212868569e-09,7.3212868569e-09,7.3212868569e-09,7.3212868569e-09,4.7668643307e-17,1.6393951513e-05,1.6393951513e-05,1.6393951513e-05,1.6393951513e-05
2095,3.2356378306e-06,3.2356378306e-06,3.2356378306e-06,3.2356378306e-06,3.1248108217e-27,1.1016606422e-22,3.9606495262e-20,3.9606495262e-20,3.9606495262e-20,3.9606495262e-20,2.3687551835e-30,8.5002389829e-29,5.3363777073e-37,8.6343408479e-25,3.5903857142e-22,6.8029218774e-09,6.8029218774e-09,6.8029218774e-09,6.8029218774e-09,5.3336671499e-37,9.5008313803e-34,1.8636997004e-22,0.00015179246954,0.00015179246954,0.00015179246954,0.00015179246954,2.7365224269e-21,3.981233813e-38,1.3822208307e-25,1.0638054384e-14,8.8335112756e-36,4.0315545313e-37,8.2603103933e-17,6.6255633434e-22,3.0491680105e-06,3.0491680105e-06,3.0491680105e-06,3.0491680105e-06,0.46421425729,0.46421425729,0.46421425729,0.46421425729,3.520472506e-12,7.3003099537e-09,7.3003099537e-09,7.3003099537e-09,7.3003099537e-09,4.6169156051e-17,1.6404758127e-05,1.6404758127e-05,1.6404758127e-05,1.6404758127e-05
2100,3.236528664e-06,3.236528664e-06,3.236528664e-06,3.236528664e-06,2.8197946299e-27,1.0302615223e-22,3.7686952483e-20,3.7686952483e-20,3.7686952483e-20,3.7686952483e-20,2.0792812844e-30,7.5671907424e-29,4.385238712e-37,7.9481172311e-25,3.3699750011e-22,6.7832824609e-09,6.7832824609e-09,6.7832824609e-09,6.7832824609e-09,4.3830013067e-37,8.0723044628e-34,1.7457706359e-22,0.00015194107065,0.00015194107065,0.00015194107065,0.00015194107065,2.584206785e-21,3.2325538699e-38,1.2643752862e-25,1.0421980134e-14,7.3521332424e-36,3.3087204233e-37,8.0121166336e-17,6.2303970697e-22,3.049963364e-06,3.049963364e-06,3.049963364e-06,3.049963364e-06,0.46475079184,0.46475079184,0.46475079184,0.46475079184,3.481914838e-12,7.2796805383e-09,7.2796805383e-09,7.2796805383e-09,7.2796805383e-09,4.4723830059e-17,1.641569227e-05,1.641569227e-05,1.641569227e-05,1.641569227e-05
2105,3.2374578864e-06,3.2374578864e-06,3.2374578864e-06,3.2374578864e-06,2.5450501588e-27,9.6368225891e-23,3.5867102537e-20,3.5867102537e-20,3.5867102537e-20,3.5867102537e-20,1.8254957454e-30,6.7378138431e-29,3.603850154e-37,7.3179150223e-25,3.1637209035e-22,6.7639671211e-09,6.7639671211e-09,6.7639671211e-09,6.7639671211e-09,3.6020032146e-37,6.8594254789e-34,1.635629122e-22,0.00015209027927,0.00015209027927,0.00015209027927,0.00015209027927,2.4408413386e-21,2.6247586561e-38,1.1568103743e-25,1.0211565536e-14,6.1197175562e-36,2.7156465003e-37,7.7725659753e-17,5.859951801e-22,3.0507953661e-06,3.0507953661e-06,3.0507953661e-06,3.0507953661e-06,0.46528794635,0.46528794635,0.46528794635,0.46528794635,3.4440787396e-12,7.2593931969e-09,7.2593931969e-09,7.2593931969e-09,7.2593931969e-09,4.33304934e-17,1.6426752408e-05,1.6426752408e-05,1.6426752408e-05,1.6426752408e-05
2110,3.2384250203e-06,3.2384250203e-06,3.2384250203e-06,3.2384250203e-06,2.2975246426e-27,9.0158512787e-23,3.4141449014e-20,3.4141449014e-20,3.4141449014e-20,3.4141449014e-20,1.6029605288e-30,6.0004524075e-29,2.9618769406e-37,6.7390437971e-25,2.9706761299e-22,6.744970811e-09,6.744970811e-09,6.744970811e-09,6.744970811e-09,2.9603522472e-37,5.8295119607e-34,1.5327405102e-22,0.000152240089,0.000152240089,0.000152240089,0.000152240089,2.305874169e-21,2.1313192051e-38,1.0586094718e-25,1.00066374e-14,5.0943335825e-36,2.2290100405e-37,7.5413225392e-17,5.5126130089e-22,3.0516635605e-06,3.0516635605e-06,3.0516635605e-06,3.0516635605e-06,0.46582572153,0.46582572153,0.46582572153,0.46582572153,3.4069477283e-12,7.2394426219e-09,7.2394426219e-09,7.2394426219e-09,7.2394426219e-09,4.1987069055e-17,1.6437937033e-05,1.6437937033e-05,1.6437937033e-05,1.6437937033e-05
2115,3.2394295958e-06,3.2394295958e-06,3.2394295958e-06,3.2394295958e-06,2.0744779525e-27,8.4365689734e-23,3.2504814991e-20,3.2504814991e-20,3.2504814991e-20,3.2504814991e-20,1.4077941744e-30,5.3447761865e-29,2.4344120476e-37,6.2072153299e-25,2.7899592024e-22,6.7262885823e-09,6.7262885823e-09,6.7262885823e-09,6.7262885823e-09,2.4331533126e-37,4.9548540006e-34,1.4366081953e-22,0.0001523904935,0.0001523904935,0.0001523904935,0.0001523904935,2.1787889089e-21,1.7307053403e-38,9.6893939582e-26,9.8070285112e-15,4.2411277654e-36,1.8296854307e-37,7.3180647194e-17,5.1868758348e-22,3.0525674979e-06,3.0525674979e-06,3.0525674979e-06,3.0525674979e-06,0.46636411809,0.46636411809,0.46636411809,0.46636411809,3.3705057653e-12,7.2198236094e-09,7.2198236094e-09,7.2198236094e-09,7.2198236094e-09,4.0691570444e-17,1.6449244659e-05,1.6449244659e-05,1.6449244659e-05,1.6449244659e-05
2120,3.2404711504e-06,3.2404711504e-06,3.2404711504e-06,3.2404711504e-06,1.8734501001e-27,7.8960699384e-23,3.0952323558e-20,3.0952323558e-20,3.0952323558e-20,3.0952323558e-20,1.2366014179e-30,4.7616280994e-29,2.0010039755e-37,5.7185083153e-25,2.6207497232e-22,6.7079155835e-09,6.7079155835e-09,6.7079155835e-09,6.7079155835e-09,1.9999647542e-37,4.2119547569e-34,1.3467708165e-22,0.00015254148657,0.00015254148657,0.00015254148657,0.00015254148657,2.0591023591e-21,1.4054431414e-38,8.8704265528e-26,9.612577406e-15,3.5311266216e-36,1.5019879386e-37,7.1024845289e-17,4.8813373657e-22,3.0535067361e-06,3.0535067361e-06,3.0535067361e-06,3.0535067361e-06,0.46690313675,0.46690313675,0.46690313675,0.46690313675,3.3347372416e-12,7.2005310569e-09,7.2005310569e-09,7.2005310569e-09,7.2005310569e-09,3.9442097196e-17,1.6460673826e-05,1.6460673826e-05,1.6460673826e-05,1.6460673826e-05
2125,3.2415492288e-06,3.2415492288e-06,3.2415492288e-06,3.2415492288e-06,1.6922321664e-27,7.3916580987e-23,2.9479379582e-20,2.9479379582e-20,2.9479379582e-20,2.9479379582e-20,1.0864117825e-30,4.2428895e-29,1.6448586824e-37,5.2693362521e-25,2.4622839918e-22,6.6898470574e-09,6.6898470574e-09,6.6898470574e-09,6.6898470574e-09,1.6440006498e-37,3.5808874084e-34,1.2627996716e-22,0.00015269306212,0.00015269306212,0.00015269306212,0.00015269306212,1.9463622712e-21,1.1413502444e-38,8.1223043721e-26,9.423128152e-15,2.940242621e-36,1.233053907e-37,6.8942869773e-17,4.5946894731e-22,3.0544808399e-06,3.0544808399e-06,3.0544808399e-06,3.0544808399e-06,0.46744277821,0.46744277821,0.46744277821,0.46744277821,3.299626965e-12,7.1815599609e-09,7.1815599609e-09,7.1815599609e-09,7.1815599609e-09,3.8236831117e-17,1.6472223094e-05,1.6472223094e-05,1.6472223094e-05,1.6472223094e-05
2130,3.2426633831e-06,3.2426633831e-06,3.2426633831e-06,3.2426633831e-06,1.5288402923e-27,6.9208314162e-23,2.8081652626e-20,2.8081652626e-20,2.8081652626e-20,2.8081652626e-20,9.5462598956e-31,3.7813610868e-29,1.3521846496e-37,4.8564181988e-25,2.3138509481e-22,6.6720783393e-09,6.6720783393e-09,6.6720783393e-09,6.6720783393e-09,1.3514761796e-37,3.0447506337e-34,1.1842963269e-22,0.00015284521416,0.00015284521416,0.00015284521416,0.00015284521416,1.8401452838e-21,9.2691540157e-39,7.4387625473e-26,9.2385301389e-15,2.4484484934e-36,1.0123327301e-37,6.6931894789e-17,4.3257121716e-22,3.0554893812e-06,3.0554893812e-06,3.0554893812e-06,3.0554893812e-06,0.4679830432,0.4679830432,0.4679830432,0.4679830432,3.2651601475e-12,7.1629054146e-09,7.1629054146e-09,7.1629054146e-09,7.1629054146e-09,3.7074032364e-17,1.6483891049e-05,1.6483891049e-05,1.6483891049e-05,1.6483891049e-05
2135,3.2438131721e-06,3.2438131721e-06,3.2438131721e-06,3.2438131721e-06,1.3814924019e-27,6.4812674684e-23,2.6755060958e-20,2.6755060958e-20,2.6755060958e-20,2.6755060958e-20,8.3896918565e-31,3.3706576199e-29,1.1116553778e-37,4.4767521404e-25,2.1747884141e-22,6.6546048544e-09,6.6546048544e-09,6.6546048544e-09,6.6546048544e-09,1.1110703707e-37,2.5892074639e-34,1.1108904073e-22,0.00015299793681,0.00015299793681,0.00015299793681,0.00015299793681,1.7400550022e-21,7.5279506763e-39,6.8141019399e-26,9.0586378784e-15,2.039091367e-36,8.3117042701e-38,6.4989212894e-17,4.0732674588e-22,3.0565319381e-06,3.0565319381e-06,3.0565319381e-06,3.0565319381e-06,0.46852393244,0.46852393244,0.46852393244,0.46852393244,3.2313223932e-12,7.1445626057e-09,7.1445626057e-09,7.1445626057e-09,7.1445626057e-09,3.5952035808e-17,1.6495676297e-05,1.6495676297e-05,1.6495676297e-05,1.6495676297e-05
2140,3.2449981618e-06,3.2449981618e-06,3.2449981618e-06,3.2449981618e-06,1.2485873691e-27,6.0708101297e-23,2.5495756562e-20,2.5495756562e-20,2.5495756562e-20,2.5495756562e-20,7.3745011081e-31,3.0051148288e-29,9.139682301e-38,4.1275907268e-25,2.0444796144e-22,6.6374221162e-09,6.6374221162e-09,6.6374221162e-09,6.6374221162e-09,9.1348514593e-38,2.2020946933e-34,1.0422375533e-22,0.00015315122427,0.00015315122427,0.00015315122427,0.00015315122427,1.6457202095e-21,6.1140492563e-39,6.2431370236e-26,8.8833108115e-15,1.6983230064e-36,6.8246827781e-38,6.3112229699e-17,3.8362936012e-22,3.0576080958e-06,3.0576080958e-06,3.0576080958e-06,3.0576080958e-06,0.46906544662,0.46906544662,0.46906544662,0.46906544662,3.1980996863e-12,7.1265268144e-09,7.1265268144e-09,7.1265268144e-09,7.1265268144e-09,3.486924758e-17,1.6507577467e-05,1.6507577467e-05,1.6507577467e-05,1.6507577467e-05
2145,3.2462179248e-06,3.2462179248e-06,3.2462179248e-06,3.2462179248e-06,1.1286863656e-27,5.6874572723e-23,2.4300111091e-20,2.4300111091e-20,2.4300111091e-20,2.4300111091e-20,6.4832544853e-31,2.6797070822e-29,7.5148232987e-38,3.8064191684e-25,1.9223499507e-22,6.6205257241e-09,6.6205257241e-09,6.6205257241e-09,6.6205257241e-09,7.5108339086e-38,1.8730920122e-34,9.7801753051e-23,0.00015330507086,0.00015330507086,0.00015330507086,0.00015330507086,1.5567932017e-21,4.965884348e-39,5.7211486606e-26,8.7124131237e-15,1.4146264587e-36,5.6040297489e-38,6.1298458773e-17,3.6137998311e-22,3.0587174456e-06,3.0587174456e-06,3.0587174456e-06,3.0587174456e-06,0.46960758648,0.46960758648,0.46960758648,0.46960758648,3.1654783797e-12,7.1087934109e-09,7.1087934109e-09,7.1087934109e-09,7.1087934109e-09,3.3824141785e-17,1.651959321e-05,1.651959321e-05,1.651959321e-05,1.651959321e-05
2150,3.2474720403e-06,3.2474720403e-06,3.2474720403e-06,3.2474720403e-06,1.0204961604e-27,5.3293494033e-23,2.3164702711e-20,2.3164702711e-20,2.3164702711e-20,2.3164702711e-20,5.7006869374e-31,2.3899745638e-29,6.1792132878e-38,3.5109350926e-25,1.8078640151e-22,6.6039113618e-09,6.6039113618e-09,6.6039113618e-09,6.6039113618e-09,6.1759186154e-38,1.5934416945e-34,9.1793248229e-23,0.000153459471,0.000153459471,0.000153459471,0.000153459471,1.472948237e-21,4.0334786801e-39,5.2438413034e-26,8.5458135688e-15,1.1784227585e-36,4.6019719104e-38,5.9545516788e-17,3.4048614262e-22,3.0598595855e-06,3.0598595855e-06,3.0598595855e-06,3.0598595855e-06,0.47015035274,0.47015035274,0.47015035274,0.47015035274,3.133445184e-12,7.0913578539e-09,7.0913578539e-09,7.0913578539e-09,7.0913578539e-09,3.2815257376e-17,1.6531722197e-05,1.6531722197e-05,1.6531722197e-05,1.6531722197e-05
2155,3.2487600942e-06,3.2487600942e-06,3.2487600942e-06,3.2487600942e-06,9.2285416276e-28,4.9947591675e-23,2.2086303759e-20,2.2086303759e-20,2.2086303759e-20,2.2086303759e-20,5.0134296202e-31,2.1319588444e-29,5.0812940829e-38,3.2390301833e-25,1.70052282e-22,6.5875747949e-09,6.5875747949e-09,6.5875747949e-09,6.5875747949e-09,5.078573011e-38,1.3557110869e-34,8.6170531176e-23,0.00015361441921,0.00015361441921,0.00015361441921,0.00015361441921,1.3938800906e-21,3.2762604954e-39,4.8073042005e-26,8.3833852985e-15,9.8174412327e-37,3.7793147016e-38,5.7851118899e-17,3.208615141e-22,3.0610341195e-06,3.0610341195e-06,3.0610341195e-06,3.0610341195e-06,0.4706937461,0.4706937461,0.4706937461,0.4706937461,3.1019871568e-12,7.074215688e-09,7.074215688e-09,7.074215688e-09,7.074215688e-09,3.1841195183e-17,1.654396312e-05,1.654396312e-05,1.654396312e-05,1.654396312e-05
2160,3.2500816787e-06,3.2500816787e-06,3.2500816787e-06,3.2500816787e-06,8.3471502389e-28,4.682081645e-23,2.1061869178e-20,2.1061869178e-20,2.1061869178e-20,2.1061869178e-20,4.4097723692e-31,1.9021458709e-29,4.1787096848e-38,2.9887734428e-25,1.5998612318e-22,6.5715118696e-09,6.5715118696e-09,6.5715118696e-09,6.5715118696e-09,4.1764622357e-38,1.1535913381e-34,8.0907818523e-23,0.00015376991008,0.00015376991008,0.00015376991008,0.00015376991008,1.319302709e-21,2.6612922976e-39,4.4079762241e-26,8.2250056993e-15,8.179623749e-37,3.1038998895e-38,5.6213074348e-17,3.0242549661e-22,3.0622406579e-06,3.0622406579e-06,3.0622406579e-06,3.0622406579e-06,0.4712377673,0.4712377673,0.4712377673,0.4712377673,3.0710916927e-12,7.0573625424e-09,7.0573625424e-09,7.0573625424e-09,7.0573625424e-09,3.0900615092e-17,1.6556314694e-05,1.6556314694e-05,1.6556314694e-05,1.6556314694e-05
2165,3.2514363925e-06,3.2514363925e-06,3.2514363925e-06,3.2514363925e-06,7.5513863351e-28,4.3898253849e-23,2.008852567e-20,2.008852567e-20,2.008852567e-20,2.008852567e-20,3.8794561718e-31,1.6974155104e-29,3.4366617191e-38,2.7583959295e-25,1.5054455909e-22,6.5557185106e-09,6.5557185106e-09,6.5557185106e-09,6.5557185106e-09,3.434805361e-38,9.8172681917e-35,7.5981114678e-23,0.00015392593832,0.00015392593832,0.00015392593832,0.00015392593832,1.2489479559e-21,2.1618333822e-39,4.0426139752e-26,8.0705562369e-15,6.8156323535e-37,2.5493408336e-38,5.4629282273e-17,2.8510281897e-22,3.0634788169e-06,3.0634788169e-06,3.0634788169e-06,3.0634788169e-06,0.47178241705,0.47178241705,0.47178241705,0.47178241705,3.0407465128e-12,7.0407941285e-09,7.0407941285e-09,7.0407941285e-09,7.0407941285e-09,2.9992233353e-17,1.656877565e-05,1.656877565e-05,1.656877565e-05,1.656877565e-05
2170,3.2528238402e-06,3.2528238402e-06,3.2528238402e-06,3.2528238402e-06,6.8327936307e-28,4.1166041145e-23,1.9163561519e-20,1.9163561519e-20,1.9163561519e-20,1.9163561519e-20,3.413491819e-31,1.5149968868e-29,2.8265591632e-38,2.5462768384e-25,1.4168715043e-22,6.5401907193e-09,6.5401907193e-09,6.5401907193e-09,6.5401907193e-09,2.8250257621e-38,8.3557053461e-35,7.1368083567e-23,0.00015408249873,0.00015408249873,0.00015408249873,0.00015408249873,1.1825644423e-21,1.756173211e-39,3.7082628549e-26,7.9199223055e-15,5.6795873052e-37,2.0939853574e-38,5.3097727721e-17,2.68823174e-22,3.0647482187e-06,3.0647482187e-06,3.0647482187e-06,3.0647482187e-06,0.47232769608,0.47232769608,0.47232769608,0.47232769608,3.0109396552e-12,7.0245062382e-09,7.0245062382e-09,7.0245062382e-09,7.0245062382e-09,2.9114820025e-17,1.6581344743e-05,1.6581344743e-05,1.6581344743e-05,1.6581344743e-05
2175,3.2542436327e-06,3.2542436327e-06,3.2542436327e-06,3.2542436327e-06,6.1837642483e-28,3.8611290745e-23,1.8284417054e-20,1.8284417054e-20,1.8284417054e-20,1.8284417054e-20,3.0040014077e-31,1.3524288379e-29,2.3249096314e-38,2.3509308037e-25,1.3337617992e-22,6.5249245723e-09,6.5249245723e-09,6.5249245723e-09,6.5249245723e-09,2.3236429369e-38,7.1126155139e-35,6.7047929876e-23,0.0001542395862,0.0001542395862,0.0001542395862,0.0001542395862,1.1199164372e-21,1.4266845644e-39,3.4022308219e-26,7.7729930839e-15,4.7333125506e-37,1.7200652152e-38,5.1616477849e-17,2.5352087868e-22,3.0660484913e-06,3.0660484913e-06,3.0660484913e-06,3.0660484913e-06,0.47287360511,0.47287360511,0.47287360511,0.47287360511,2.9816594662e-12,7.0084947421e-09,7.0084947421e-09,7.0084947421e-09,7.0084947421e-09,2.8267196542e-17,1.6594020744e-05,1.6594020744e-05,1.6594020744e-05,1.6594020744e-05
2180,3.2556953868e-06,3.2556953868e-06,3.2556953868e-06,3.2556953868e-06,5.5974522922e-28,3.6222019292e-23,1.7448675686e-20,1.7448675686e-20,1.7448675686e-20,1.7448675686e-20,2.6440797903e-31,1.2075248993e-29,1.9124089484e-38,2.1709963146e-25,1.2557646233e-22,6.5099162194e-09,6.5099162194e-09,6.5099162194e-09,6.5099162194e-09,1.9113625186e-38,6.0552107836e-35,6.3001289067e-23,0.00015439719568,0.00015439719568,0.00015439719568,0.00015439719568,1.0607828512e-21,1.1590550402e-39,3.1220645805e-26,7.6296613971e-15,3.9450394323e-37,1.4129985418e-38,5.0183678305e-17,2.3913455849e-22,3.0673792684e-06,3.0673792684e-06,3.0673792684e-06,3.0673792684e-06,0.47342014486,0.47342014486,0.47342014486,0.47342014486,2.9528945906e-12,6.9927555881e-09,6.9927555881e-09,6.9927555881e-09,6.9927555881e-09,2.7448233398e-17,1.6606802446e-05,1.6606802446e-05,1.6606802446e-05,1.6606802446e-05
2185,3.2571787252e-06,3.2571787252e-06,3.2571787252e-06,3.2571787252e-06,5.067696357e-28,3.3987082085e-23,1.6654055514e-20,1.6654055514e-20,1.6654055514e-20,1.6654055514e-20,2.3276734415e-31,1.0783422922e-29,1.5731935029e-38,2.0052251433e-25,1.1825516834e-22,6.4951618823e-09,6.4951618823e-09,6.4951618823e-09,6.4951618823e-09,1.572328992e-38,5.1556434825e-35,5.9210125499e-23,0.00015455532225,0.00015455532225,0.00015455532225,0.00015455532225,1.0049562886e-21,9.4166328454e-40,2.8655279713e-26,7.489823584e-15,3.2883289855e-37,1.1608177358e-38,4.8797549778e-17,2.2560685394e-22,3.0687401894e-06,3.0687401894e-06,3.0687401894e-06,3.0687401894e-06,0.47396731606,0.47396731606,0.47396731606,0.47396731606,2.9246339631e-12,6.9772847991e-09,6.9772847991e-09,6.9772847991e-09,6.9772847991e-09,2.6656847944e-17,1.6619688659e-05,1.6619688659e-05,1.6619688659e-05,1.6619688659e-05
