Time,C_B_target,CYP3A4_1A_n1_SOC,CYP3A4_1A_n2_SOC,CYP3A4_1A_n3_SOC,CYP3A4_1A_n4_SOC,CYP3A4_2_n1_SOC,CYP3A4_3_n1_SOC,CYP3A4_4_n1_SOC,CYP3A4_5_n1_SOC,CYP3A4_7_n1_SOC,CYP3A4_8_n1_SOC,CYP3A4_9_n1_SOC,CYP3A4_10_n1_SOC,CYP3A4_11_n1_SOC,CYP3A4_12_n1_SOC,CYP3A4_13_n1_SOC,CYP3A4_14_n1_SOC,CYP3A4_15_n1_SOC,CYP3A4_15_n3_SOC,CYP3A4_15_n4_SOC,CYP3A4_16_n1_SOC,CYP3A4_17_n1_SOC,CYP3A4_18_n1_SOC,CYP3A4_19_n1_SOC,CYP3A4_20_n1_SOC,CYP3A4_21_n1_SOC,CYP3A4_23_n1_SOC,CYP3A4_24_n1_SOC,CYP3A4_28_n1_SOC,CYP3A4_29_n1_SOC,CYP3A4_29_n2_SOC,CYP3A4_29_n3_SOC,CYP3A4_29_n4_SOC,CYP3A4_31_n1_SOC,CYP3A4_32_n1_SOC,CYP3A4_33_n1_SOC,CYP3A4_34_n1_SOC,CYP3A4_34_n3_SOC,CYP3A4_34_n4_SOC
1010.0,0.033224336567,0.033224336567,0.033224336567,0.033224336567,0.033224336567,0.33728914927,0.27308163223,0.23614893651,0.38038148507,0.35900070713,0.47011718358,0.30304397409,0.26572006652,0.069143989346,0.47012016137,0.42654429362,0.26981060164,0.015365882558,0.015365882558,0.015365882558,0.25300624395,0.48511275153,0.31426331275,0.15568175245,0.45383868199,0.47173979145,0.18725293153,0.26189135876,0.033512016434,0.00011542439372,0.00011542439372,0.00011542439372,0.00011542439372,0.11773380647,0.068684670305,0.191015098,0.025063073796,0.025063073796,0.025063073796
1015.0,0.032779610507,0.032779610507,0.032779610507,0.032779610507,0.032779610507,0.33661916533,0.27225423871,0.23526418837,0.37985192382,0.3583981993,0.46995524281,0.30228163194,0.26487907485,0.068467254588,0.4699582338,0.42619206966,0.26897699484,0.015102408642,0.015102408642,0.015102408642,0.25214413538,0.48502103292,0.31352914337,0.15477853818,0.45360320567,0.47158533563,0.18633683969,0.26104372519,0.033064640397,0.00011073034764,0.00011073034764,0.00011073034764,0.00011073034764,0.11688847829,0.068009836093,0.19009902856,0.024692964294,0.024692964294,0.024692964294
1020.0,0.032340835911,0.032340835911,0.032340835911,0.032340835911,0.032340835911,0.33595051206,0.27142935044,0.234382754,0.37932309955,0.35779670191,0.46979335781,0.30152120637,0.26404074281,0.067797142662,0.46979636199,0.4258401363,0.26814596135,0.01484345193,0.01484345193,0.01484345193,0.25128496134,0.48492933165,0.31279668768,0.15388056121,0.45336785149,0.47143093037,0.18542522617,0.260198833,0.032623234586,0.00010622719749,0.00010622719749,0.00010622719749,0.00010622719749,0.11604921485,0.067341630055,0.18918734684,0.024328318922,0.024328318922,0.024328318922
1025.0,0.031907933173,0.031907933173,0.031907933173,0.031907933173,0.031907933173,0.33528318682,0.27060695985,0.233504621,0.37879501124,0.35719621327,0.46963152856,0.30076269256,0.263205062,0.067133588765,0.46963454591,0.4254884933,0.26731749326,0.014588934993,0.014588934993,0.014588934993,0.25042871187,0.48483764771,0.31206594169,0.15298779119,0.4531326194,0.47127657565,0.1845180691,0.25935667334,0.032187719387,0.00010190717998,0.00010190717998,0.00010190717998,0.00010190717998,0.11521597272,0.066679987133,0.18828003188,0.023969057049,0.023969057049,0.023969057049
1030.0,0.031480823753,0.031480823753,0.031480823753,0.031480823753,0.031480823753,0.33461718697,0.26978705939,0.23262977701,0.37826765787,0.35659673169,0.46946975505,0.30000608572,0.26237202404,0.066476528728,0.46947278556,0.42513714043,0.26649158264,0.014338781728,0.014338781728,0.014338781728,0.24957537701,0.48474598111,0.31133690143,0.15210019798,0.45289750934,0.47112227147,0.18361534673,0.2585172374,0.031758016242,9.7762847545e-05,9.7762847545e-05,9.7762847545e-05,9.7762847545e-05,0.11438870876,0.066024842905,0.18737706281,0.023615099232,0.023615099232,0.023615099232
1035.0,0.031059430155,0.031059430155,0.031059430155,0.031059430155,0.031059430155,0.33395250989,0.26896964153,0.23175820972,0.37774103841,0.35599825548,0.46930803726,0.29925138105,0.26154162061,0.06582589901,0.46931108091,0.42478607744,0.26566822163,0.014092917336,0.014092917336,0.014092917336,0.24872494689,0.48465433183,0.3106095629,0.15121775157,0.45266252123,0.47096801779,0.18271703743,0.25768051636,0.031334047642,9.3787055501e-05,9.3787055501e-05,9.3787055501e-05,9.3787055501e-05,0.11356738014,0.065376133581,0.18647841886,0.023266367199,0.023266367199,0.023266367199
1040.0,0.030643675925,0.030643675925,0.030643675925,0.030643675925,0.030643675925,0.33328915294,0.26815469877,0.23088990686,0.37721515184,0.35540078297,0.46914637516,0.29849857377,0.26071384337,0.065181636692,0.46914943195,0.4244353041,0.26484740235,0.0138512683,0.0138512683,0.0138512683,0.24787741162,0.48456269988,0.30988392216,0.15034042217,0.45242765501,0.47081381461,0.18182311963,0.25684650148,0.030915737108,8.9972949711e-05,8.9972949711e-05,8.9972949711e-05,8.9972949711e-05,0.11275194435,0.064733795995,0.18558407939,0.022922783834,0.022922783834,0.022922783834
1045.0,0.030233485625,0.030233485625,0.030233485625,0.030233485625,0.030233485625,0.3326271135,0.26734222361,0.23002485621,0.37668999715,0.35480431247,0.46898476874,0.29774765914,0.25988868403,0.06454367947,0.46898783864,0.42408482017,0.26402911699,0.013613762362,0.013613762362,0.013613762362,0.24703276138,0.48447108525,0.30915997524,0.14946818014,0.45219291063,0.47065966191,0.18093357192,0.25601518399,0.030503009182,8.6313954781e-05,8.6313954781e-05,8.6313954781e-05,8.6313954781e-05,0.11194235916,0.064097767602,0.1846940238,0.022584273157,0.022584273157,0.022584273157
1050.0,0.029828784829,0.029828784829,0.029828784829,0.029828784829,0.029828784829,0.33196638897,0.26653220859,0.22916304561,0.37616557332,0.35420884229,0.46882321798,0.29699863238,0.25906613434,0.06391196565,0.46882630099,0.42373462541,0.26321335772,0.013380328502,0.013380328502,0.013380328502,0.24619098636,0.48437948794,0.30843771819,0.14860099599,0.45195828802,0.47050555968,0.18004837296,0.25518655521,0.030095789409,8.2803762721e-05,8.2803762721e-05,8.2803762721e-05,8.2803762721e-05,0.11113858267,0.06346798647,0.18380823165,0.022250760306,0.022250760306,0.022250760306
1055.0,0.029429500105,0.029429500105,0.029429500105,0.029429500105,0.029429500105,0.33130697672,0.26572464628,0.22830446291,0.37564187933,0.35361437078,0.46866172286,0.29625148876,0.25824618603,0.063286434139,0.46866481895,0.42338471958,0.26240011677,0.013150896918,0.013150896918,0.013150896918,0.2453520768,0.48428790794,0.30771714708,0.14773884044,0.45172378712,0.47035150789,0.17916750152,0.25436060643,0.029694004327,7.9436322072e-05,7.9436322072e-05,7.9436322072e-05,7.9436322072e-05,0.11034057326,0.062844391274,0.18292668255,0.021922171526,0.021922171526,0.021922171526
