Time,CYP3A4_1A_n1_OCT_N,CYP3A4_1A_n2_OCT_N,CYP3A4_1A_n3_OCT_N,CYP3A4_1A_n4_OCT_N,CYP3A4_2_n1_OCT_N,CYP3A4_3_n1_OCT_N,CYP3A4_4_n1_OCT_N,CYP3A4_5_n1_OCT_N,CYP3A4_7_n1_OCT_N,CYP3A4_8_n1_OCT_N,CYP3A4_9_n1_OCT_N,CYP3A4_10_n1_OCT_N,CYP3A4_11_n1_OCT_N,CYP3A4_12_n1_OCT_N,CYP3A4_13_n1_OCT_N,CYP3A4_14_n1_OCT_N,CYP3A4_15_n1_OCT_N,CYP3A4_15_n3_OCT_N,CYP3A4_15_n4_OCT_N,CYP3A4_16_n1_OCT_N,CYP3A4_17_n1_OCT_N,CYP3A4_18_n1_OCT_N,CYP3A4_19_n1_OCT_N,CYP3A4_20_n1_OCT_N,CYP3A4_21_n1_OCT_N,CYP3A4_23_n1_OCT_N,CYP3A4_24_n1_OCT_N,CYP3A4_28_n1_OCT_N,CYP3A4_29_n1_OCT_N,CYP3A4_29_n2_OCT_N,CYP3A4_29_n3_OCT_N,CYP3A4_29_n4_OCT_N,CYP3A4_31_n1_OCT_N,CYP3A4_32_n1_OCT_N,CYP3A4_33_n1_OCT_N,CYP3A4_34_n1_OCT_N,CYP3A4_34_n3_OCT_N,CYP3A4_34_n4_OCT_N
100.0,1.5506036942,1.5505640284,1.5505640284,1.5505640285,23.442496888,14.675827558,11.033284233,31.156805382,27.146609886,49.848713815,18.351636872,13.873585037,2.44297901,49.848796121,40.631675637,14.312351805,1.1514373687,1.1514373699,1.556322566,12.576689079,52.883914431,19.906272136,5.6728148841,46.447225096,50.182332356,7.4235377893,13.472918638,1.5579218925,0.87193570567,0.90657122174,0.91341322137,0.87475347788,4.0196598278,2.4311127064,7.6557230786,1.3675923929,1.3675923929,1.3709845155
105.0,1.3045244505,1.3044895972,1.3044895972,1.3044895972,22.075247774,13.518128561,10.030144335,29.742936568,25.74340129,48.688623161,17.081851694,12.745846017,2.0853009532,48.688707514,39.290833685,13.167962091,0.96265532866,0.96265532971,1.3181107327,11.502076363,51.803635047,18.600206303,5.0071939367,45.209193165,49.030551366,6.6295548088,12.360956964,1.3108336711,0.75156989624,0.78247305811,0.78858253056,0.75408249314,3.4973430607,2.0748010285,6.8462107944,1.1469657895,1.1469657895,1.1499357749
110.0,1.0998426195,1.0998119989,1.0998119989,1.099811999,20.790223229,12.454785558,9.1213607673,28.395106763,24.414922927,47.555990044,15.90275675,11.712843066,1.7825618844,47.556076301,37.995364192,12.118123032,0.80710086537,0.80710086628,1.1112794366,10.522396459,50.745689987,17.382563904,4.4227119445,44.004853275,47.905643678,5.9236249649,11.343850511,1.1052799597,0.65149276495,0.67915948572,0.68463324793,0.65374090045,3.0457578294,1.7732793388,6.1254358659,0.96423461093,0.96423461093,0.96683531134
115.0,0.92923458801,0.92920768491,0.92920768491,0.92920768494,19.582333017,11.477870307,8.2977741584,27.110144805,23.157080238,46.450152552,14.807679145,10.766370052,1.52595632,46.450240575,36.743693111,11.154780378,0.67856860643,0.67856860723,0.92191768832,9.6289987379,49.709610844,16.247179229,3.9091270091,42.833268591,46.806970914,5.2956522239,10.413254916,0.9339196003,0.56783083798,0.59268442306,0.59760519371,0.56984924,2.6549609471,1.5177558222,5.4833430878,0.81253229345,0.81253229344,0.81481029776
120.0,0.78673120075,0.78670755916,0.78670755915,0.78670755918,18.446810888,10.580140126,7.5511408556,25.885035991,21.966009255,45.370465075,13.790451019,9.898952464,1.3081452959,45.370554731,35.534302416,10.270585991,0.57207284754,0.57207284823,0.76707051847,8.8140441145,48.694939225,15.18832873,3.4575323166,41.693528947,45.733910187,4.7367345004,9.5615813961,0.79076776002,0.4975238598,0.51992609561,0.52436463453,0.49934218896,2.3164556473,1.300904665,4.9110522789,0.68629610571,0.68629610571,0.68829233692
125.0,0.66745708497,0.66743630267,0.66743630266,0.66743630269,17.379193388,9.7549769733,6.8740387942,24.716914149,20.838063258,44.316297893,12.845370269,9.1037803665,1.1230034299,44.316389054,34.365728054,9.458834224,0.48359677334,0.48359677395,0.64008055183,8.0704267919,47.701226522,14.200698443,3.0601768137,40.584750066,44.685853713,4.2390183198,8.7819264257,0.67093518286,0.43814042735,0.45840101887,0.46241795077,0.43978405783,2.0229744238,1.1166128954,4.4007169578,0.58100903033,0.58100903033,0.58275933586
130.0,0.5674219899,0.56740371301,0.56740371301,0.56740371303,16.3753001,8.9963320842,6.2597833006,23.603054111,19.769800222,43.287036773,11.967164415,8.3746476728,0.96541103607,43.287129318,33.236557969,8.7134041902,0.40989536514,0.40989536567,0.53563912996,7.3917037477,46.728033705,13.279353871,2.7103106557,39.506072803,43.662208435,3.7955716605,8.0680081391,0.57041941029,0.38773820883,0.40612277156,0.40977013269,0.38922888895,1.7682954457,0.95977237246,3.9454004851,0.49299470601,0.49299470601,0.49453042049
135.0,0.48335341284,0.48333733066,0.48333733066,0.48333733068,15.431215203,8.2986756432,5.7023517572,22.540864594,18.757971019,42.282082582,11.150957343,7.7058971096,0.83108302338,42.282176393,32.145430208,8.02870735,0.34834007404,0.34834007451,0.44950095072,6.7720311839,45.774931108,12.41971215,2.4020519115,38.45666241,42.662395657,3.4002726437,7.414108788,0.48593726479,0.34475734871,0.36149415448,0.3648166998,0.34611375793,1.5470872123,0.82610862716,3.5389674561,0.41925414146,0.41925414146,0.42060261048
140.0,0.41256206497,0.41254790512,0.41254790512,0.41254790514,14.54327027,7.6569510267,5.1963161701,21.527881435,17.799508308,41.3008509,10.392238686,7.092370333,0.71642787236,41.300945865,31.09103109,7.3996399263,0.29679607572,0.29679607613,0.37826148331,6.2061072329,44.841498225,11.617516304,2.1302715243,37.435707828,41.685850687,3.0477120425,6.8150226698,0.41479016454,0.30793872035,0.32322438018,0.32626068588,0.30917693807,1.3547769831,0.71203982803,3.1759884168,0.35733539131,0.35733539131,0.35852045044
145.0,0.35283351231,0.35282103632,0.35282103632,0.35282103633,13.70802821,7.0665331865,4.7367827903,20.561761189,16.891516087,40.342771653,9.6868356429,6.529362699,0.61843123872,40.342867665,30.072093452,6.8215396845,0.25352501142,0.25352501178,0.31918285182,5.6891202881,43.927323509,10.868811435,1.8904939587,36.442420991,40.732022487,2.73310785,6.26600899,0.35475561425,0.27626088975,0.29026513657,0.29304852895,0.27739478952,1.1874392396,0.61456040571,2.8516562262,0.30522930236,0.30522930236,0.30627170982
