Time,CYP3A4_2_OCT_N,CYP3A4_3_OCT_N,CYP3A4_4_OCT_N,CYP3A4_5_OCT_N,CYP3A4_7_OCT_N,CYP3A4_8_OCT_N,CYP3A4_9_OCT_N,CYP3A4_10_OCT_N,CYP3A4_11_OCT_N,CYP3A4_12_OCT_N,CYP3A4_13_OCT_N,CYP3A4_14_OCT_N,CYP3A4_15_OCT_N,CYP3A4_16_OCT_N,CYP3A4_17_OCT_N,CYP3A4_18_OCT_N,CYP3A4_19_OCT_N,CYP3A4_20_OCT_N,CYP3A4_21_OCT_N,CYP3A4_23_OCT_N,CYP3A4_24_OCT_N,CYP3A4_28_OCT_N,CYP3A4_29_OCT_N,CYP3A4_31_OCT_N,CYP3A4_32_OCT_N,CYP3A4_33_OCT_N,CYP3A4_34_OCT_N
12.0,55.461230053,54.309943918,53.52973234,56.123638567,55.804137598,57.299443521,54.875147119,54.16234648,47.515914837,57.299467349,56.758243149,54.244751627,43.393794686,53.898471123,57.474376813,55.073465138,51.361379664,57.103249792,57.318632191,52.308557885,54.084144844,44.608428744,40.390317517,49.97826468,47.491123786,52.412293505,44.325396718
12.5,54.623228078,53.443849379,52.645241189,55.302303265,54.974718034,56.508581267,54.022704363,53.292731693,46.508025832,56.508605728,55.953214582,53.37709996,42.32480458,53.022609306,56.688144329,54.225876606,50.42855774,56.307224533,56.528276577,51.396334745,53.212672456,43.553532116,39.313617972,49.016829575,46.482793872,51.502374984,43.267799968
13.0,53.798056013,52.591828256,51.775693579,54.49310471,54.157767499,55.72866637,53.183718455,52.437353248,45.522478692,55.728691438,55.159674253,52.523593577,41.283920615,52.161277074,55.912686791,53.391531359,49.513209963,55.522341403,55.748849349,50.500460371,52.355523053,42.524944773,38.269925097,48.074565616,45.496838567,50.608683834,42.236950177
13.5,52.985514819,51.75364762,50.920831529,53.695861778,53.35309637,54.959546787,52.357973552,51.595973611,44.558757705,54.959572441,54.377457155,51.683997521,40.270360316,51.314228502,55.147856199,52.570219345,48.614999262,54.748443742,54.980198913,49.620634011,51.512456634,41.52197836,37.258113784,47.151077465,44.532740845,49.730923115,41.232134881
14.0,52.185408588,50.929078469,50.080401612,52.910396074,52.560517939,54.201072599,51.54525733,50.768359285,43.616359521,54.201098816,53.606400667,50.858080812,39.28336414,50.481221914,54.393506594,51.761733892,47.733595249,53.985377104,54.222175786,48.756560591,50.683237297,40.543963338,36.27710078,46.245978197,43.589996086,48.868801453,40.25266151
14.5,51.397544494,50.117895662,49.254154863,52.136531893,51.779848373,53.453095975,50.745360924,49.954280743,42.694792842,53.453122734,52.846344521,50.045616378,38.322194773,49.6620198,53.649494026,50.965871657,46.868674092,53.232989227,53.474632568,47.907950596,49.86763317,39.590248449,35.325843002,45.35888912,42.668111769,48.022032941,39.297856805
15.0,50.621732739,49.319877847,48.441846709,51.37409618,51.010906669,52.715471148,49.958078871,49.153512356,41.793578127,52.715498427,52.097130765,49.246380985,37.386136445,48.856388754,52.915676531,50.182432568,46.019918374,52.491129999,52.737423911,47.074519972,49.065416336,38.660200199,34.403335937,44.489439594,41.766607169,47.19033703,38.36706626
15.5,49.857786509,48.534807404,47.643236881,50.622918486,50.253514605,51.988054381,49.183209056,48.365832331,40.912247298,51.98808216,51.358603735,48.460155177,36.474494271,48.064099391,52.191914098,49.411219775,45.187016965,51.75965143,52.010406489,46.255990014,48.27636277,37.753202347,33.508612102,43.637266851,40.885013067,46.373438427,37.45965357
16.0,49.105521925,47.762470373,46.858089342,49.882830933,49.507496702,51.270703943,48.420552651,47.591022639,40.050343458,51.270732201,50.630610014,47.686723201,35.586593615,47.284926282,51.478068645,48.652039594,44.369664894,51.038407621,51.293438976,45.452087268,47.500252266,36.86865542,32.640739572,42.802015827,40.022871465,45.571066995,36.575000111
16.5,48.364757996,47.002656398,46.08617221,49.153668172,48.772680177,50.563280077,47.669914069,46.828868953,39.20742061,50.563308794,49.912998405,46.925872954,34.721779468,46.518647886,50.774003993,47.904701456,43.567563223,50.327254735,50.58638201,44.662543424,46.736868375,36.00597624,31.798820572,41.983338991,39.179735303,44.782957651,35.712504417
